lat	long	ch4	date	day	month	year	biomes
-19.003.316.879.300.000	-55.450.706.481.899.900	1773.29	4/27/2009	27	4	2009	Pantanal
-20.375.852.584.800.000	-55.767.654.418.900.000	1760.79	4/27/2009	27	4	2009	Pantanal
-20.349.498.748.799.900	-55.784.793.853.799.900	1773.74	4/30/2009	30	4	2009	Pantanal
-29.027.032.852.200.000	-54.711.784.362.800.000	1729.90	4/24/2009	24	4	2009	Pampa
-30.061.716.079.699.900	-56.695.877.075.200.000	1733.66	4/27/2009	27	4	2009	Pampa
-32.047.019.958.500.000	-53.744.041.442.899.900	1729.41	4/27/2009	27	4	2009	Pampa
-29.769.081.115.700.000	-50.156.253.814.700.000	1734.00	4/29/2009	29	4	2009	Pampa
-30.066.093.444.800.000	-56.693.225.860.600.000	1753.98	4/30/2009	30	4	2009	Pampa
-30.371.049.881.000.000	-55.054.962.158.199.900	1749.50	4/30/2009	30	4	2009	Pampa
-32.054.199.218.800.000	-53.741.367.340.099.900	1722.35	4/30/2009	30	4	2009	Pampa
-22.590.427.398.700.000	-43.368.469.238.300.000	1742.76	4/23/2009	23	4	2009	Atlantic_Forest
-21.611.427.307.100.000	-49.729.003.906.300.000	1753.79	4/24/2009	24	4	2009	Atlantic_Forest
-23.953.092.575.100.000	-51.850.635.528.600.000	1753.55	4/24/2009	24	4	2009	Atlantic_Forest
-27.677.738.189.700.000	-54.373.191.833.500.000	1733.80	4/24/2009	24	4	2009	Atlantic_Forest
-22.270.729.064.899.900	-44.891.811.370.799.900	1743.44	4/26/2009	26	4	2009	Atlantic_Forest
-21.232.604.980.500.000	-51.251.876.831.099.900	1745.14	4/27/2009	27	4	2009	Atlantic_Forest
-22.271.018.981.899.900	-53.073.204.040.500.000	1744.93	4/27/2009	27	4	2009	Atlantic_Forest
-21.972.682.952.900.000	-54.598.236.084.000.000	1747.91	4/27/2009	27	4	2009	Atlantic_Forest
-23.330.547.332.799.900	-54.930.725.097.699.900	1744.91	4/27/2009	27	4	2009	Atlantic_Forest
-26.645.044.326.800.000	-52.465.812.683.099.900	1731.39	4/27/2009	27	4	2009	Atlantic_Forest
-28.372.970.581.099.900	-51.165.496.826.199.900	1723.91	4/27/2009	27	4	2009	Atlantic_Forest
-27.677.429.199.199.900	-54.373.394.012.500.000	1730.89	4/27/2009	27	4	2009	Atlantic_Forest
-22.598.978.042.599.900	-43.366.714.477.499.900	1739.55	4/29/2009	29	4	2009	Atlantic_Forest
-27.084.806.442.300.000	-49.385.848.998.999.900	1735.39	4/29/2009	29	4	2009	Atlantic_Forest
-29.769.081.115.700.000	-50.156.253.814.700.000	1734.00	4/29/2009	29	4	2009	Atlantic_Forest
-22.585.716.247.600.000	-51.548.969.268.800.000	1749.62	4/30/2009	30	4	2009	Atlantic_Forest
-27.019.371.032.700.000	-50.873.260.498.000.000	1741.54	4/30/2009	30	4	2009	Atlantic_Forest
-26.652.275.085.399.900	-52.463.233.947.799.900	1746.41	4/30/2009	30	4	2009	Atlantic_Forest
-27.674.318.313.600.000	-54.371.536.254.900.000	1744.65	4/30/2009	30	4	2009	Atlantic_Forest
-27.994.874.954.200.000	-52.776.844.024.699.900	1741.70	4/30/2009	30	4	2009	Atlantic_Forest
-20.624.282.836.900.000	-46.087.902.069.099.900	1739.58	4/23/2009	23	4	2009	Cerrado
-17.920.305.252.100.000	-53.625.946.044.899.900	1763.13	4/27/2009	27	4	2009	Cerrado
-18.209.621.429.399.900	-52.144.042.968.800.000	1758.38	4/27/2009	27	4	2009	Cerrado
-18.523.702.621.500.000	-50.663.764.953.600.000	1755.09	4/27/2009	27	4	2009	Cerrado
-19.564.064.025.899.900	-52.450.191.497.799.900	1752.98	4/27/2009	27	4	2009	Cerrado
-13.619.549.751.299.900	-54.135.696.411.100.000	1778.95	4/30/2009	30	4	2009	Cerrado
-15.207.782.745.399.900	-53.002.326.965.300.000	1769.43	4/30/2009	30	4	2009	Cerrado
-14.948.478.698.700.000	-54.469.123.840.300.000	1769.49	4/30/2009	30	4	2009	Cerrado
-16.321.781.158.400.000	-54.772.609.710.700.000	1766.66	4/30/2009	30	4	2009	Cerrado
-16.569.879.531.900.000	-53.311.237.335.199.900	1762.25	4/30/2009	30	4	2009	Cerrado
-18.208.137.512.200.000	-52.142.868.042.000.000	1753.36	4/30/2009	30	4	2009	Cerrado
-17.916.561.126.700.000	-53.627.029.418.900.000	1757.29	4/30/2009	30	4	2009	Cerrado
-19.275.722.503.699.900	-53.944.015.502.900.000	1756.77	4/30/2009	30	4	2009	Cerrado
-20.915.927.886.999.900	-52.758.251.190.199.900	1752.34	4/30/2009	30	4	2009	Cerrado
-18.882.354.736.300.000	-57.367.988.586.400.000	1798.09	5/1/2009	1	5	2009	Pantanal
-20.218.517.303.500.000	-57.649.719.238.300.000	1807.84	5/1/2009	1	5	2009	Pantanal
-29.707.086.563.099.900	-51.478.412.628.199.900	1736.85	5/3/2009	3	5	2009	Pampa
-29.021.894.455.000.000	-54.715.827.941.900.000	1744.11	5/3/2009	3	5	2009	Pampa
-30.070.213.317.899.900	-56.700.809.478.799.900	1748.30	5/3/2009	3	5	2009	Pampa
-30.369.960.784.900.000	-55.060.867.309.599.900	1740.56	5/3/2009	3	5	2009	Pampa
-30.694.101.333.599.900	-53.421.485.900.900.000	1735.20	5/3/2009	3	5	2009	Pampa
-29.357.446.670.500.000	-53.099.407.196.000.000	1737.61	5/3/2009	3	5	2009	Atlantic_Forest
-22.905.502.319.299.900	-47.721.374.511.699.900	1747.66	5/17/2009	17	5	2009	Atlantic_Forest
-22.903.982.162.500.000	-47.722.320.556.600.000	1747.65	5/17/2009	17	5	2009	Atlantic_Forest
-22.902.013.778.699.900	-47.723.274.230.999.900	1747.64	5/17/2009	17	5	2009	Atlantic_Forest
-21.180.519.103.999.900	-51.245.479.583.700.000	1754.42	5/18/2009	18	5	2009	Atlantic_Forest
-22.217.515.945.399.900	-53.064.594.268.800.000	1757.01	5/18/2009	18	5	2009	Atlantic_Forest
-23.568.904.876.700.000	-53.381.824.493.400.000	1756.61	5/18/2009	18	5	2009	Atlantic_Forest
-23.885.602.950.999.900	-51.844.562.530.499.900	1750.76	5/18/2009	18	5	2009	Atlantic_Forest
-24.226.718.902.599.900	-50.311.073.303.199.900	1739.65	5/18/2009	18	5	2009	Atlantic_Forest
-26.930.173.873.899.900	-50.887.447.357.200.000	1740.71	5/18/2009	18	5	2009	Atlantic_Forest
-28.383.563.995.399.900	-49.745.864.868.200.000	1737.83	5/20/2009	20	5	2009	Atlantic_Forest
-14.410.451.889.000.000	-41.608.070.373.499.900	1740.82	5/29/2009	29	5	2009	Caatinga
-15.821.508.407.600.000	-58.268.112.182.599.900	1783.99	5/1/2009	1	5	2009	Amazon
-13.110.253.333.999.900	-57.696.025.848.399.900	1778.39	5/1/2009	1	5	2009	Cerrado
-18.205.677.032.499.900	-52.147.903.442.400.000	1755.36	5/3/2009	3	5	2009	Cerrado
-17.914.113.998.400.000	-53.632.377.624.500.000	1755.94	5/3/2009	3	5	2009	Cerrado
-21.706.581.115.700.000	-56.128.417.968.800.000	1817.39	5/3/2009	3	5	2009	Cerrado
-20.863.250.732.400.000	-52.750.873.565.699.900	1756.01	5/18/2009	18	5	2009	Cerrado
-17.870.164.871.200.000	-45.434.989.929.200.000	1741.86	5/29/2009	29	5	2009	Cerrado
-18.156.982.421.900.000	-43.955.043.792.700.000	1740.51	5/29/2009	29	5	2009	Cerrado
-19.512.098.312.399.900	-44.261.234.283.400.000	1746.91	5/29/2009	29	5	2009	Cerrado
-19.217.903.137.200.000	-45.755.283.355.700.000	1746.41	5/29/2009	29	5	2009	Cerrado
-18.951.953.887.900.000	-47.255.413.055.399.900	1748.38	5/29/2009	29	5	2009	Cerrado
-18.950.965.881.300.000	-55.440.349.578.899.900	1753.95	6/2/2009	2	6	2009	Pantanal
-15.962.789.535.500.000	-58.916.225.433.299.900	1759.33	6/3/2009	3	6	2009	Pantanal
-18.961.704.254.200.000	-55.455.249.786.400.000	1769.71	6/5/2009	5	6	2009	Pantanal
-18.825.716.018.700.000	-57.377.887.725.800.000	1777.11	6/6/2009	6	6	2009	Pantanal
-20.186.923.980.700.000	-57.657.924.652.100.000	1759.58	6/18/2009	18	6	2009	Pantanal
-17.621.656.417.800.000	-55.125.602.722.200.000	1764.87	6/20/2009	20	6	2009	Pantanal
-19.058.763.504.000.000	-55.446.372.985.799.900	1755.87	6/20/2009	20	6	2009	Pantanal
-17.486.013.412.500.000	-57.099.384.307.900.000	1777.89	6/30/2009	30	6	2009	Pantanal
-28.984.405.517.599.900	-54.717.746.734.599.900	1763.90	6/5/2009	5	6	2009	Pampa
-30.667.394.638.099.900	-53.425.506.591.800.000	1755.61	6/5/2009	5	6	2009	Pampa
-30.334.920.883.199.900	-55.063.434.600.800.000	1754.81	6/5/2009	5	6	2009	Pampa
-30.022.851.943.999.900	-56.701.080.322.300.000	1751.21	6/5/2009	5	6	2009	Pampa
-28.987.625.122.099.900	-54.717.384.338.400.000	1744.08	6/11/2009	11	6	2009	Pampa
-30.031.126.022.300.000	-56.699.562.072.799.900	1769.80	6/11/2009	11	6	2009	Pampa
-29.756.669.998.200.000	-51.477.924.346.899.900	1741.20	6/14/2009	14	6	2009	Pampa
-28.991.651.534.999.900	-54.718.044.280.999.900	1745.35	6/14/2009	14	6	2009	Pampa
-30.035.417.556.799.900	-56.700.332.641.599.900	1756.18	6/14/2009	14	6	2009	Pampa
-30.339.817.047.099.900	-55.063.468.933.099.900	1746.04	6/14/2009	14	6	2009	Pampa
-30.663.375.854.500.000	-53.426.631.927.499.900	1743.90	6/14/2009	14	6	2009	Pampa
-31.004.774.093.599.900	-51.787.792.205.800.000	1737.29	6/14/2009	14	6	2009	Pampa
-32.020.828.247.099.900	-53.752.983.093.300.000	1738.98	6/14/2009	14	6	2009	Pampa
