,ano,estacao,psill,model,range,nugget
1,2009,wet,109.981,Gau,6.67,6.83
2,2010,wet,145,Sph,81,35
3,2011,wet,1600,Exp,145,39
4,2012,wet,136.2,Gau,5.12,50.7
5,2013,wet,42,Gau,4.1,31
6,2014,wet,800,Gau,26,26
7,2015,wet,1600,Exp,145,39
8,2016,wet,12,Gau,20,30
9,2017,wet,450,Gau,7,45
10,2018,wet,1600,Exp,145,39
11,2019,wet,1145,Gau,1,50
12,2020,wet,1145,Gau,1,50
13,2009,dry,225,Gau,15,55
14,2010,dry,135,Gau,12,25
15,2011,dry,135,Gau,12,25
16,2012,dry,161,Gau,14.5,33
17,2013,dry,590,Gau,14.5,33
18,2014,dry,253,Sph,124,41
19,2015,dry,200,Gau,60,40
20,2016,dry,2000,Exp,246,42
21,2017,dry,12,Gau,20,30
22,2018,dry,12,Gau,20,30
23,2019,dry,2000,Exp,246,42
24,2020,dry,0,,0,0
